,detunings,experiment_counts,experiment_sums,normalization_counts,normalization_sums
0,-12,4187.0,3275.0,185000.0,109618.0
1,-9,4129.0,3285.0,185000.0,123836.0
2,-6,4178.0,3763.0,185000.0,141841.0
3,-3,4444.0,4590.0,185000.0,157317.0
4,0,4393.0,4654.0,185000.0,172653.0
5,3,4164.0,4600.0,185000.0,192255.0
6,6,4134.0,4446.0,185000.0,201834.0
7,9,4074.0,4183.0,185000.0,223208.0
8,12,3949.0,3719.0,185000.0,233394.0
9,15,3853.0,3461.0,185000.0,238841.0
10,18,4240.0,4136.0,185000.0,249634.0
11,21,4123.0,4041.0,185000.0,243592.0
12,24,4036.0,4523.0,185000.0,249940.0
13,27,4270.0,5243.0,185000.0,249772.0
14,30,4324.0,5852.0,185000.0,245324.0
15,33,4431.0,6413.0,185000.0,238799.0
16,36,4497.0,7106.0,185000.0,235905.0
17,39,4652.0,7743.0,185000.0,226224.0
18,42,4559.0,7520.0,185000.0,208241.0
19,45,4625.0,8078.0,185000.0,203982.0
20,48,4765.0,8374.0,185000.0,189760.0
21,51,4632.0,8066.0,185000.0,175709.0
22,54,4674.0,7807.0,185000.0,155520.0
23,57,4723.0,7287.0,185000.0,141779.0
24,60,4943.0,7384.0,185000.0,126331.0
25,63,4689.0,6266.0,185000.0,110213.0
26,66,4347.0,5476.0,185000.0,83936.0
